Các yêu cầu có đầy đủ thông tin cần thiết không?,,,,,
Nếu có yêu cầu nào thiếu có được đánh dấu lại không?,,,,,
"Các yêu cầu khác về chất lượng có được mô tả rõ ràng và được số hoá, với những điều chỉnh có thể chấp nhận được không?",,,,,
Các yêu cầu có nằm trong phạm vi dự án không?,,,,,
Các yêu cầu có thực sự là yêu cầu mà không phải là đề xuất thiết kế hoặc giải pháp thực hiện không?,,,,,
Hành động cần làm trong những trường hợp có lỗi (nếu có) có được mô tả không?,,,,,
Qui trình nghiệp vụ,,,,,
Có mô tả các qui trình nghiệp vụ không?,,,,,
Với mỗi qui trình nghiệp vụ có mô tả:,,,,,
Sự kiện kích hoạt qui trình?,,,,,
Mô hình qui trình nghiệp vụ?,,,,,
Các bước trong qui trình?,,,,,Bắt buộc
Các yêu cầu chức năng,,,,,
Mỗi yêu cầu có bao gồm đủ các thông tin sau không?,,,,,
Mã hiệu yêu cầu – tên yêu cầu,,,,,Bắt buộc
Mô tả chức năng,,,,,Bắt buộc
Nguồn cung cấp yêu cầu,,,,,
Tác nhân thực hiện,,,,,
Điều kiện để thực hiện,,,,,
"Các bước xử lý chính (tác nghiệp của đối tượng, luồng thông tin, kết xuất, ...)",,,,,Bắt buộc
Các bước xử lý ngoại lệ,,,,,Bắt buộc
Điều kiện kết thúc,,,,,
Các yêu cầu khác,,,,,
Các yêu cầu về bảo mật và an toàn có được xác định không?,,,,,Bắt buộc
Loại bảo mật nào được yêu cầu?,,,,,
Có xác định các yêu cầu về sao lưu dữ liệu không?,,,,,
Có xác định các yêu cầu về tính sử dụng (usability) của hệ thống không?,,,,,
Có xác định các yêu cầu về tính ổn định (stability) của hệ thống không?,,,,,
Các yêu cầu về performance (hiệu năng) có được xác định không?,,,,,
Lưu lượng giao dịch và qui mô của dữ liệu có được chỉ rõ trong tài liệu không?,,,,,Bắt buộc
Có xác định các yêu cầu về tính hỗ trợ của hệ thống không?,,,,,
Có mô tả các yêu cầu về công nghệ và các ràng buộc đối với thiết kế không?,,,,,Bắt buộc
Có xác định các yêu cầu giao tiếp của hệ thống không?,,,,,
Giao tiếp người dùng (GUI)?,,,,,Bắt buộc
Giao tiếp phần cứng?,,,,,
Giao tiếp phần mềm bao gồm:,,,,,
Giao tiếp với các hệ thống phần mềm khác?,,,,,Bắt buộc
Giao tiếp giữa các module trong nội tại hệ thống?,,,,,Bắt buộc
Giao tiếp truyền thông?,,,,,
Có xác định các yêu cầu về tài liệu người dùng và hỗ trợ trực tuyến không?,,,,,
Hệ thống có sử dụng các thành phần mua ngoài không?,,,,,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",,,,,Bắt buộc
"Các yêu cầu pháp lý, bản quyền không?",,,,,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",,,,,Bắt buộc
Hệ thống có áp dụng các tiêu chuẩn nào khác ngoài các tiêu chuẩn thuộc phạm vi dự án không?,,,,,
"Nếu có, có được mô tả đầy đủ trong tài liệu không?",,,,,Bắt buộc
,,,,,
<Có thể thêm vào checklist các quan tâm khác nếu cần thiết>,,,,,
,,0,,0,
* Ý kiến,,,,,
,,,,,
,,,,,
* Đề xuất,,,,,
,,,,,
[X] - Đạt,,,,,
[  ] - Xem xét lại,,,,,
[  ] - Khác,,,,,
