131,Các mục trong Kế hoạch dự án có được thực hiện đầy đủ theo các mục sau đây không?,,,,
132,   - Có thực hiện đúng việc trao đổi thông tin nội bộ đội dự án không?,,,,
133,"   - Có thực hiện đúng theo việc mô tả chế độ báo cáo, xem xét, họp giữa đội dự án và cán bộ quản lý đơn vị không?",,,,
134,"   - Có thực hiện đúng việc trao đổi, báo cáo, phương thức theo dõi thông tin giữa đội dự án và khách hàng không?",,,,
135,   - Quy trình xử lý yêu cầu thay đổi (nếu có) có được thực hiện đúng theo kế hoạch không?,,,,
136,   - Dự án có được đánh giá nội bộ theo lịch của Navisoft không?,,,,
137,Có cập nhật KHDA lên Navisoft Insight không?,,,,
138,Có theo dõi trạng thái công việc trên Navisoft Insight không?,,,,
139,Có estimation size dự án khi khởi động dự án không?,,,,
140,Có estimation size dự án khi kết thúc phân tích không?,,,,
141,Các thay đổi so với quy trình chuẩn có được xác định trong kế hoạch dự án không?,,,,
142,Có BB họp khởi động dự án không ?,,,,
143,"Có BB bàn giao SP khi đến kỳ hạn không?
",,,,
144,Có kế hoạch chi tiết các giai đoạn không ?,,,,
145,Kế hoạch chi tiết các giai đoạn có được cập nhật trạng thái các công việc không?,,,,
146,Có thực hiện báo cáo tiến trình dự án không ?,,,,
147,Có gửi báo cáo tiến trình dự án lên forum không? Có gửi cho khách hàng (nếu cần) không?,,,,
148,Có các biên bản họp dự án không ?,,,,
149,Có các biên bản nghiệm thu (theo hợp đồng) không ?,,,,
150,"Xem xét tiến độ dự án, nếu vượt quá 20% thì có yêu cầu  cập nhật KHDA không? Số liệu không đúng với thực tế, có  re_plan lại không?",,,,
151,Có báo cáo milestone khi đến mốc kiểm soát không ?,,,,
152,Báo cáo milestone có được xem xét không ?,,,,
153,QTDA có cập nhật đủ thông tin để làm milestone đặc biệt là các thông tin về chỉ tiêu không?,,,,
154,Có họp phân tích chỉ tiêu dự án khi kết thúc milestone cùng với đội dự án không?,,,,
155,Có báo cáo tổng kết dự án không ?,,,,
156,Báo cáo tổng kết dự án có được review không ?,,,,
157,Có thực hiện phân tích các sai lệch trong báo cáo Postmortem không?.  ,,,,
158,Có nêu các bài học kinh nghiệm trong báo cáo Postmortem không?.  ,,,,
159,Có cập nhật lại báo cáo sau buổi họp tổng kết không?,,,,
160,Các mục trong Kế hoạch dự án có được thực hiện đầy đủ không ?,,,,
161,Các thành viên dự án có khai timesheet đầy đủ không?,,,,
162,QTDA có approve các timesheet của các thành viên dự án không?,,,,
163,Ghi nhận lỗi của dự án lên TesTrack có chính xác không ?,,,,
,Dự án có thực hiện quản lý rủi ro theo các bước sau không:,,,,
164,    - Có xác định rủi ro không?,,,,
165,    - Có đưa ra hướng giải quyết cho các rủi ro không?,,,,
166,"    - Có hành động, biện pháp phòng ngừa cho các rủi ro có thể xẩy ra không?",,,,
167,"    - Các rủi ro đã xẩy ra, có thực hiện nhìn lại, phân tích không?
",,,,
168,"Trong tuần có CI nào của dự án thay đổi không? Nếu có, có thông báo nội dung thay đổi cho các bên liên quan không?",,,,
169,Review báo cáo tuần: nguồn lực có khớp với số liệu từ timesheet không?,,,,
170,NC/NX hoặc khiếu nại trong tuần của dự án đã thực hiện các hành động đóng chưa?,,,,
171,QTDA có biết về danh sách NC/NX hay gặp tại Navisoft không?,,,,
172,Có thực hiện phân tích chỉ tiêu không đạt của quá trình Quản trị dự án không?,,,,
,Thêm tiếp nếu cần?,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,* Nhận xét,,,,
,,,,,
,,,,,
,,,,,
,* Đề xuất,,,,
,,,,,
,[X] - Đạt,,,,
,[   ] - Xem xét lại,,,,
,[   ] - Khác,,,,
