,,,,,,
,GUI Review Checklist,,,,,
Refresh màn hình,"Việc tải lại màn hình là cần thiết sau các tác vụ như lưu trữ hoặc xóa. Trong khi màn hình đang tải lại, việc cần thiết là bỏ trống các trường có thể để trống trong quá trình sử dụng, cũng cần phải tải các giá trị trong các trường “có thể chọn”(selectable field), ví dụ: combo box, list box, list view, etc. Thực hiện các tác vụ lưu hoặc xóa và quan sát màn hình khi refresh",Màn hình refresh đúng,,,,
Các sự kiện nhấp chuột,"Các khu vực không mong đợi nhấp chuột sẽ không kích hoạt hành động. Ví dụ: khung, nhãn và danh sách trống không được kích hoạt bất kỳ hành động nào khi nhấp vào. Nhấp và nhấp đúp vào các khu vực như vậy và quan sát phản hồi",Không có phản hồi,,,,
Thanh điều hướng,Thanh điều hướng khi sử dụng phím tab phải đi từ trái qua phải từ trên xuống dưới. Tab từ điều khiển này đến điều khiển khác ,"Tiêu điểm (focus) chuyển từ điều khiển bên trái sang điều khiển bên phải, sau đó xuống hàng tiếp theo. Khi tab đến điều khiển cuối cùng thì quay trở lại với điều khiển đầu tiên.",,,,
,Những người khuyết tật – đặc biệt là về thị giác – có thể bắt buộc phải dùng bàn phím bên cạnh chuột. ,Tất cả cá chức năng đều có thể truy cập bởi bàn phím.,,,,
,Cuộn màn hình theo cả chiều dọc và chiều ngang là rất tốn công,Không cần thiết phải cuộn màn hinh theo cả 2 hướng trừ khi có lý do bắt buộc,,,,
Các mặc định,Phải có một ô được chọn sẵn khi tải bảng điều khiến có các nút chọn (radio button),Có một nút chọn được chọn sẵn khi tải xong,,,,
,Các ô đánh dấu (checkbox) phải được đánh dấu trước hoặc không tùy theo các giá trị mặc định,Các ô đánh dấu (checkbox) phải được đánh dấu trước hoặc không tùy theo các giá trị mặc định đối với lần đầu tiên tải,,,,
,Một nút lệnh phải được mặc định cho màn hình.,1. Mặc định một nút lệnh nào đó phải được kích hoạt khi ấn phím enter.,,,,
,,2. Nút mặc định thường là những nút mang tính tích cực như “Save” hoặc “Ok”. Các nút mang tính tiêu cực như “Cancel” hoặc “Delete” không nên là các nút mặc định,,,,
,,3. Phải có lý do hợp lý thì các nút mang tính tiêu cực mới có thể là nút mặc định,,,,
Phản hồi hành động,Đối với hành động “lưu” nên biểu thì rằng bản ghi đã được lưu,"Sự xác nhận hành động “lưu” có thể được hiển thị trên một thanh tiến trình, hay sự thay đổi hình dáng con trỏ, tin nhắn thông báo xác nhận hoặc các thứ gì đó tương tự. Hành động “lưu” không thể bỏ qua nếu không có sự biểu thị xác nhận",,,,
Tính nhất quán,Cần có sự nhất quán giữa các nút trên thanh công cụ và các item trong menu. Khởi tạo hành động (bắt sự kiện) đối với từng lựa chọn trên thanh công cụ rồi đến menu (cũng có thể chấp nhận ngược lại ),Các hành động tương tự nhau được kích hoạt khi đã khởi tạo trong thanh công cụ hoặc menu,,,,
Thanh công cụ,Mỗi nút trên thanh công cụ đều phải có một menu item tương ứng với nó trong menu,Mỗi nút trên thanh công cụ đều phải có một menu item tương ứng với nó trong menu,,,,
,Các nút trên thanh công cụ đều phải có gợi ý công cụ để mô tả hành động khi được nhấn nút. Chắc chắn rằng gợi ý công cụ hiện lên khi đưa chuột qua mỗi nút,Mỗi nút trên thanh công cụ đều phải có gợi  ý công cụ,,,,
Thứ tự (khi ấn) tab,"Các điều khiển đầu vào đề có thể truy cập được bằng nút tab. Thứ tự của chúng là từ trái qua phải, từ trên xuống dưới","Con trỏ chuyển từ điều khiển đầu vào này đến điều khiển đầu vào khác với phím tab, từ trái qua phải và từ trên xuống dưới",,,,
